03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【writeData】数据发送成功
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [readResponse] 开始读取响应...
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [readResponse] 读取 8 字节 PTP/IP 包头...
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [readBytes] 开始读取 8 字节，当前缓存 0 字节...
03-13 22:39:29.054   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [readBytes] 已订阅 message 事件，等待数据...
03-13 22:39:34.056   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  E     PtpConnectionManager [readBytes] ❌ 读取超时：期望8字节，当前缓存0字节
03-13 22:39:34.083   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     PtpConnectionManager ⚠️ 【PtpConnectionManager】首次 OpenSession 未收到响应，尝试先建立事件连接后重试：{}
03-13 22:39:34.083   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【connectEventConnection】开始建立事件连接...
03-13 22:39:34.083   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectEventConnection] 连接到 192.168.1.1:15741
03-13 22:39:34.083   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [connectEventConnection] 等待 500ms 确保命令连接稳定...
03-13 22:39:34.626   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     PtpConnectionManager ⚠️【connectEventToHost】事件连接仍在建立中，等待 800ms 后继续：{"code":2301115,"message":"Operation in progress"}
03-13 22:39:35.427   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ✅【connectEventConnection】事件连接建立成功
03-13 22:39:35.427   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitEventRequest] 发送 Init_Event_Request...
03-13 22:39:35.427   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [sendInitEventRequest] 发送 Init_Event_Request 包，长度：12 字节，Connection Number=1
03-13 22:39:35.428   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [writeDataToEventSocket] 准备发送 0 字节
03-13 22:39:35.429   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  E     PtpConnectionManager ❌【writeDataToEventSocket】写入数据错误：{"code":2301107,"message":"Socket not connected"}
03-13 22:39:35.429   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     PtpConnectionManager ⚠️【waitForEventSocketWritable】事件 Socket 尚未就绪（尝试 1/4），400ms 后重试：{"code":2301107,"message":"Socket not connected"}
03-13 22:39:35.829   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [writeDataToEventSocket] 准备发送 0 字节
03-13 22:39:35.831   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  E     PtpConnectionManager ❌【writeDataToEventSocket】写入数据错误：{"code":2301107,"message":"Socket not connected"}
03-13 22:39:35.831   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     PtpConnectionManager ⚠️【waitForEventSocketWritable】事件 Socket 尚未就绪（尝试 2/4），800ms 后重试：{"code":2301107,"message":"Socket not connected"}
03-13 22:39:36.633   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [writeDataToEventSocket] 准备发送 0 字节
03-13 22:39:36.634   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  E     PtpConnectionManager ❌【writeDataToEventSocket】写入数据错误：{"code":2301107,"message":"Socket not connected"}
03-13 22:39:36.634   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     PtpConnectionManager ⚠️【waitForEventSocketWritable】事件 Socket 尚未就绪（尝试 3/4），1200ms 后重试：{"code":2301107,"message":"Socket not connected"}
03-13 22:39:37.835   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [writeDataToEventSocket] 准备发送 0 字节
03-13 22:39:37.837   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  E     PtpConnectionManager ❌【writeDataToEventSocket】写入数据错误：{"code":2301107,"message":"Socket not connected"}
03-13 22:39:37.837   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     PtpConnectionManager ⚠️【waitForEventSocketWritable】事件 Socket 尚未就绪（尝试 4/4），1600ms 后重试：{"code":2301107,"message":"Socket not connected"}
03-13 22:39:39.438   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  E     PtpConnectionManager ❌【sendInitEventRequest】事件 Socket 长时间不可写，放弃初始化
03-13 22:39:39.439   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     PtpConnectionManager ⚠️【connectEventConnection】事件连接已尝试建立，但 Init_Event_Request 未完成
03-13 22:39:39.439   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     PtpConnectionManager ⚠️ 【PtpConnectionManager】事件连接未真正就绪，停止本轮 OpenSession 重试；当前更像命令包语义或 NetworkKit 事件连接时序问题
03-13 22:39:39.439   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient 【PtpClient】openSession 返回，结果：失败
03-13 22:39:39.439   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  E     PtpClient ❌ 【PtpClient】PTP 会话打开失败
03-13 22:39:39.439   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 断开 PTP/IP 连接
03-13 22:39:39.442   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 连接已断开
03-13 22:39:39.442   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  E     CameraUtils ❌ 【PTP/IP】CameraUtils - 相机连接失败
03-13 22:39:39.442   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  E     PtpConnectionManager ❌【PTP/IP】相机连接失败
03-13 22:39:39.443   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  W     PtpConnectionManager ⚠️【PTP/IP】自动检测失败：未检测到相机
03-13 22:39:39.443   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 连接状态更新：未连接, 未检测到相机
03-13 22:39:39.443   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     HomePage 收到连接状态更新：state=false, message=未检测到相机
03-13 22:39:39.443   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PTP/IP】启动自动重连机制...
03-13 22:39:39.443   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 启动自动重连，间隔：3000ms
03-13 22:39:39.444   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     HomePage 自动检测结果：{"state":false,"message":"未检测到相机","status":"disconnected"}
03-13 22:39:42.445   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 尝试自动重连...
03-13 22:39:42.445   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ==========================================
03-13 22:39:42.445   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PTP/IP】用户手动连接相机
03-13 22:39:42.445   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 目标：192.168.1.1:15740
03-13 22:39:42.445   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ==========================================
03-13 22:39:42.445   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 连接状态更新：未连接, 正在连接相机...
03-13 22:39:42.446   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     HomePage 收到连接状态更新：state=false, message=正在连接相机...
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 停止自动重连
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PTP/IP】尝试连接：192.168.1.1:15740
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PTP/IP】开始连接相机：192.168.1.1:15740
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PTP/IP】使用纯 ArkTS 实现，不依赖 libgphoto2
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     CameraUtils 【PTP/IP】CameraUtils - 开始连接相机：192.168.1.1:15740
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     CameraUtils 【PTP/IP】使用纯 ArkTS 的 PTP/IP 协议，端口 15740
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient ==========================================
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient 【PtpClient】开始连接相机：192.168.1.1:15740
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient 【PtpClient】使用 PTP/IP 协议 (CIPA DC-X005-2005)
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient ==========================================
03-13 22:39:42.447   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpClient 【PtpClient】步骤 1: 建立 TCP Socket 连接...
03-13 22:39:42.448   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 
                                                                                               ==========================================
03-13 22:39:42.448   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 【PtpConnectionManager】开始连接 PTP/IP 设备：192.168.1.1:15740
03-13 22:39:42.448   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager 使用 HarmonyOS NetworkKit TCP Socket
03-13 22:39:42.448   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager ==========================================
03-13 22:39:42.448   55384-55384   A03D00/com.lin...otosend/JSAPP  com.lingyu.photosend  I     PtpConnectionManager [STEP 1] 创建 TCP Socket...
